,0.8,0.9,0.95,0.98,0.99,0.995,0.998,0.999
1,3.077,6.313,12.706,31.82,63.656,127.656,318.306,636.619
2,1.885,2.92,4.302,6.964,9.924,14.089,22.327,31.599
3,1.6377,2.3534,3.182,4.54,5.84,7.458,10.214,12.924
4,1.5332,2.1318,2.776,3.746,4.604,5.597,7.173,8.61
5,1.4759,2.015,2.57,3.649,4.0321,4.773,5.893,6.863
6,1.439,1.943,2.446,3.142,3.707,4.316,5.207,5.958
7,1.4149,1.8946,2.3646,2.998,3.4995,4.2293,4.785,5.4079
8,1.3968,1.8596,2.306,2.8965,3.3554,3.832,4.5008,5.0413
9,1.383,1.8331,2.2622,2.8214,3.2498,3.6897,4.2968,4.78
10,1.372,1.8125,2.2281,2.7638,3.1693,3.5814,4.1437,4.5869
11,1.363,1.795,2.201,2.718,3.105,3.496,4.024,4.437
12,1.3562,1.7823,2.1788,2.681,3.0845,3.4284,3.929,4.178
13,1.3502,1.7709,2.1604,2.6503,3.1123,3.3725,3.852,4.22
14,1.345,1.7613,2.1448,2.6245,2.976,3.3257,3.787,4.14
15,1.3406,1.753,2.1314,2.6025,2.9467,3.286,3.732,4.072
16,1.336,1.745,2.119,2.583,2.92,3.252,3.686,4.015
17,1.3334,1.7396,2.1098,2.5668,2.8982,3.2224,3.6458,3.965
18,1.3304,1.7341,2.1009,2.5514,2.8784,3.1966,3.6105,3.9216
19,1.3277,1.7291,2.093,2.5395,2.8609,3.1737,3.5794,3.8834
20,1.3253,1.7247,2.086,2.528,2.8453,3.1534,3.5518,3.8495
21,1.323,1.72,2.079,2.517,2.831,3.135,3.527,3.819
22,1.3212,1.7117,2.0739,2.5083,2.8188,3.1188,3.505,3.7921
23,1.3195,1.7139,2.0687,2.4999,2.8073,3.104,3.485,3.7676
24,1.3178,1.7109,2.0639,2.4922,2.7969,3.0905,3.4668,3.7454
25,1.3163,1.7081,2.0595,2.4851,2.7874,3.0782,3.4502,3.7251
26,1.315,1.705,2.059,2.478,2.778,3.066,3.436,3.706
27,1.3137,1.7033,2.0518,2.4727,2.7707,3.0565,3.421,3.6896
28,1.3125,1.7011,2.0484,2.4671,2.7633,3.0469,3.4082,3.6739
29,1.3114,1.6991,2.0452,2.462,2.7564,3.036,3.3962,3.8494
30,1.3104,1.6973,2.0423,2.4573,2.75,3.0298,3.3852,3.646
32,1.308,1.693,2.036,2.448,2.738,3.014,3.365,3.621
34,1.307,1.6909,2.0322,2.4411,2.7284,3.952,3.3479,3.6007
36,1.305,1.6883,2.0281,2.4345,2.7195,9.49,3.3326,3.5821
38,1.3042,1.686,2.0244,2.4286,2.7116,3.9808,3.319,3.5657
40,1.303,1.6839,2.0211,2.4233,2.7045,3.9712,3.3069,3.551
42,1.32,1.682,2.018,2.418,2.698,2.693,3.296,3.537
44,1.301,1.6802,2.0154,2.4141,2.6923,3.9555,3.2861,3.5258
46,1.3,1.6767,2.0129,2.4102,2.687,3.9488,3.2771,3.515
48,1.299,1.6772,2.0106,2.4056,2.6822,3.9426,3.2689,3.5051
50,1.298,1.6759,2.0086,2.4033,2.6778,3.937,3.2614,3.406
55,1.2997,1.673,2.004,2.396,2.668,2.924,3.256,3.476
60,1.2958,1.6706,2.0003,2.3901,2.6603,3.9146,3.2317,3.4602
65,1.2947,1.6686,1.997,2.3851,2.6536,3.906,3.2204,3.4466
70,1.2938,1.6689,1.9944,2.3808,2.6479,3.8987,3.2108,3.435
80,1.282,1.664,1.99,2.373,2.638,2.887,3.195,3.416
90,1.291,1.662,1.9867,2.3885,2.6316,2.8779,3.1833,3.4019
100,1.2901,1.6602,1.984,2.3642,2.6259,2.8707,3.1737,3.3905
120,1.2888,1.6577,1.9719,2.3578,2.6174,2.8598,3.1595,3.3735
150,1.2872,1.6551,1.9759,2.3515,2.609,2.8482,3.1455,3.3566
